source,target,value
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Gaza,IDPs at UNRWA Shelters,48000.0
Gaza,IDPs at Government Shelters,45000.0
Middle,IDPs at UNRWA Shelters,1000.0
Middle,IDPs at UNRWA Shelters,3000.0
Middle,IDPs at UNRWA Shelters,7000.0
Middle,IDPs at UNRWA Shelters,10000.0
Middle,IDPs at UNRWA Shelters,15000.0
Middle,IDPs at UNRWA Shelters,20000.0
Middle,IDPs at UNRWA Shelters,43000.0
Middle,IDPs at Government Shelters,5000.0
Middle,IDPs at UNRWA Shelters,83000.0
Middle,IDPs at Government Shelters,12000.0
Middle,IDPs at UNRWA Shelters,105000.0
Middle,IDPs at Government Shelters,13000.0
Middle,IDPs at UNRWA Shelters,124000.0
Middle,IDPs at Government Shelters,14000.0
Middle,IDPs at UNRWA Shelters,128000.0
